Title,CustomerCode,CustomerNameNormalized,CountryName,CustomerType,IsActive,SortOrder
Green International Medical Co. Wll,2001307,GREEN INTERNATIONAL MEDICAL WLL,Bahrain,Distributor,TRUE,100
Hamad Medical Corporation,2000027,HAMAD MEDICAL CORPORATION,Qatar,Distributor,TRUE,100
Hamad Town Pharmacy,2000009,HAMAD TOWN PHARMACY,Bahrain,Distributor,TRUE,100
Hamad Town Pharmacy (sgh ),2000933,HAMAD TOWN PHARMACY SGH,Bahrain,Distributor,TRUE,100
Hesma Pharma.,2000585,HESMA PHARMA,Ethiopia,Distributor,TRUE,100
Hospital Central Lar(hca)(ins),2000037,HOSPITAL CENTRAL LAR HCA INS,Algeria,Distributor,TRUE,100
Hospital Militaire Reg.(ins.),2000039,HOSPITAL MILITAIRE REG INS,Algeria,Distributor,TRUE,100
Ibn Sina Pharmacy Llc-oman,2002009,IBN SINA PHARMACY OMAN,Oman,Distributor,TRUE,100
Injaz Scientific Bureau,2001349,INJAZ SCIENTIFIC BUREAU,Iraq,Distributor,TRUE,100
Issac General Trading& Contracting Co,2001251,ISSAC GENERAL CONTRACTING,Kuwait,Distributor,TRUE,100
Kare Pharmaceutical Plc,2001332,KARE PHARMACEUTICAL,Ethiopia,Distributor,TRUE,100
Kfk Medservice Plus Ltd.,2000033,KFK MEDSERVICE PLUS,Kazakhstan,Distributor,TRUE,100
Kimadia,2001027,KIMADIA,Iraq,Distributor,TRUE,100
"Komba-pharm ""ltd""",2000032,KOMBA PHARM,Kazakhstan,Distributor,TRUE,100
Laboratoires Salem,2000208,LABORATOIRES SALEM,Algeria,Distributor,TRUE,100
Lanamed Pharmaceuticals Import,2001209,LANAMED PHARMACEUTICALS IMPORT,Ethiopia,Distributor,TRUE,100
Ldm(lab.de Diagnos. Maghrebin),2000035,LDM LAB DE DIAGNOS MAGHREBIN,Algeria,Distributor,TRUE,100
Lifepharma Fze,2000990,LIFEPHARMA,UAE,Distributor,TRUE,100
Maskati Pharmacy Co. W.l.l,2001359,MASKATI PHARMACY W L L,Bahrain,Distributor,TRUE,100
Meda - Ab,2000010,MEDA AB,Sweden,Distributor,TRUE,100
