Title,LCNumber,OurReference,CustomerName,CustomerCode,CurrencyCode,InvoiceAmount,PresentationDate,InvoiceStatus,CollectionDate,DueDate,TrackingNumber,InvoiceNotes,NextAction,SourceFile,SourceRow,SourceBlock
91219678,OLCT260054,2026/ILC/3432,Al Hashar Pharmacy Llc,2000006,USD,29952.18,,Issued,,2026-10-05,,,Enter presentation date,LC Master Export 2026.xlsx,17,5
91219681,OLCT260054,2026/ILC/3432,Al Hashar Pharmacy Llc,2000006,USD,24066.72,,Issued,,2026-10-06,,,Enter presentation date,LC Master Export 2026.xlsx,17,6
91219690,OLCT260054,2026/ILC/3432,Al Hashar Pharmacy Llc,2000006,USD,11078.72,,Issued,,2026-10-06,,,Enter presentation date,LC Master Export 2026.xlsx,17,7
91219898,OLCT260054,2026/ILC/3432,Al Hashar Pharmacy Llc,2000006,USD,218152.89,,Issued,,2026-10-06,,,Enter presentation date,LC Master Export 2026.xlsx,17,8
91220291,AB1000ILC0132126,ELCCB26001530DPR001,Tracon Trading Plc,2001210,USD,45607.32,,Issued,,,,,Add collection date,LC Master Export 2026.xlsx,19,1
91220476,AB1000ILC0132126,ELCCB26001530DPR001,Tracon Trading Plc,2001210,USD,394993.25,,Issued,,,,,Add collection date,LC Master Export 2026.xlsx,19,2
91228018,TF2606933771,EXWC020935,Zenith Pharma,2000022,USD,555970.78,,Pending,,2026-06-25,,,Enter presentation date,LC Export.xlsx,22,0
91228020,TF2606933771,EXWC020935,Zenith Pharma,2000022,USD,700812.44,,Pending,,2026-06-25,,,Enter presentation date,LC Export.xlsx,23,0
91228458,TF2606933771,EXWC020935,Zenith Pharma,2000022,USD,161695.12,,Pending,,2026-06-25,,,Enter presentation date,LC Export.xlsx,24,0
91228981,OLCD001260151,TF2612500004JEDX,Al Hikma Fzco Iraq,2000018,USD,28988.08,,Pending,,2026-06-28,,,Enter presentation date,LC Export.xlsx,36,0
91228956,,ELCCB26001530POD001,Tracon Trading Plc,,USD,107304.56,,Pending,,2026-06-24,,,Enter presentation date,LC Export.xlsx,48,0
91227418,ILC310/159/26,ELC26BH00858,El Hakeem For Importing Pharmaceutical,2001514,USD,148874.85,,Pending,,2026-06-21,,,Enter presentation date,LC Export.xlsx,49,0
91215163,777LC09261550003,ELC26BH00911,Samt For Medical Supplies,2000012,USD,591628.64,,Pending,,2026-06-07,,,Enter presentation date,LC Export.xlsx,50,0
91228106,777LC09261550003,ELC26BH00911,Samt For Medical Supplies,2000012,USD,161512.23,,Pending,,2026-06-23,,,Enter presentation date,LC Export.xlsx,51,0
91234848,,AB1000ILC0193026,Lanamed Pharmaceuticals Import,,USD,31491.87,,Pending,,2026-07-28,,,Enter presentation date,LC Export.xlsx,52,0
91235049,,EXWC021649,Samt For Medical Supplies,,USD,299996.18,,Pending,,2026-07-26,,,Enter presentation date,LC Export.xlsx,53,0
91233757,,ELC/2026/00832QA,Kare Pharmaceutical Plc,,USD,209276.4,,Pending,,2026-07-19,,,Enter presentation date,LC Export.xlsx,54,0
91235061,,EXWC021916-ADV001,Zenith Pharma,,USD,580964.27,,Pending,,2026-08-16,,,Enter presentation date,LC Export.xlsx,55,0
91235062,,EXWC021916-ADV001,Zenith Pharma,,USD,87185.66,,Pending,,2026-08-16,,,Enter presentation date,LC Export.xlsx,56,0
91237519,,EXWC021916-ADV001,Zenith Pharma,,USD,99846.88,,Pending,,2028-08-16,,,Enter presentation date,LC Export.xlsx,57,0
91238969,,ELC/2026/00832QA,Kare Pharmaceutical Plc,,USD,50528.63,,Pending,,2026-08-19,,,Enter presentation date,LC Export.xlsx,58,0
91238356,,LCI202600286,Al Hikma Fzco Iraq,,USD,178547.65,,Pending,,2026-08-18,,,Enter presentation date,LC Export.xlsx,59,0
91238372,,LCI202600286,Al Hikma Fzco Iraq,,USD,22315.52,,Pending,,2026-08-18,,,Enter presentation date,LC Export.xlsx,60,0
91238375,,LCI202600286,Al Hikma Fzco Iraq,,USD,366574.1,,Pending,,2026-08-18,,,Enter presentation date,LC Export.xlsx,61,0
91238790,,LCI202600286,Al Hikma Fzco Iraq,,USD,639205.89,,Pending,,2026-08-18,,,Enter presentation date,LC Export.xlsx,62,0
